GAME_ID,TEAM_ID,FIRST_SHOT_TYPE,FIRST_SHOT_TIME_SEC,FIRST_MINUTE_BASKETS,FIRST_MINUTE_POINTS
0022500081,1610612748,3PT,,1,4
0022500081,1610612753,2PT,17.0,1,2
0022500082,1610612737,2PT,15.0,1,2
0022500082,1610612761,2PT,,1,2
0022500083,1610612738,2PT,17.0,2,3
0022500083,1610612755,3PT,,1,3
0022500084,1610612741,2PT,21.0,2,4
0022500084,1610612765,2PT,,1,2
0022500085,1610612740,2PT,17.0,1,2
0022500085,1610612763,2PT,,1,2
0022500086,1610612749,3PT,,1,3
0022500086,1610612764,2PT,18.0,0,0
0022500087,1610612746,3PT,,0,0
0022500087,1610612762,3PT,20.0,1,3
0022500088,1610612756,2PT,17.0,2,4
0022500088,1610612758,2PT,,1,2
0022500089,1610612750,2PT,,0,0
0022500089,1610612757,2PT,20.0,1,2
0022500090,1610612737,2PT,37.0,0,0
0022500090,1610612753,3PT,,1,3
0022500091,1610612739,2PT,,0,0
0022500091,1610612751,3PT,38.0,0,0
0022500092,1610612749,3PT,,0,0
0022500092,1610612761,2PT,20.0,0,0
0022500093,1610612745,2PT,36.0,1,3
0022500093,1610612765,2PT,,0,0
0022500094,1610612748,2PT,,1,3
0022500094,1610612763,2PT,15.0,2,4
0022500095,1610612740,2PT,16.0,1,2
0022500095,1610612759,2PT,,2,5
0022500096,1610612742,2PT,,1,3
0022500096,1610612764,3PT,19.0,1,2
0022500097,1610612744,3PT,,0,0
0022500097,1610612757,2PT,19.0,1,2
0022500098,1610612758,2PT,16.0,0,0
0022500098,1610612762,3PT,,2,5
0022500099,1610612746,2PT,,1,2
0022500099,1610612756,3PT,18.0,1,2
0022500100,1610612741,2PT,,1,2
0022500100,1610612753,3PT,18.0,0,0
0022500101,1610612737,2PT,24.0,1,2
0022500101,1610612760,3PT,,1,3
0022500102,1610612755,2PT,,1,3
0022500102,1610612766,2PT,12.0,2,4
0022500103,1610612754,2PT,25.0,1,2
0022500103,1610612763,2PT,,0,0
0022500104,1610612743,3PT,18.0,2,3
0022500104,1610612756,3PT,,1,3
0022500105,1610612751,2PT,,1,2
0022500105,1610612759,3PT,22.0,1,2
0022500106,1610612738,2PT,24.0,1,2
0022500106,1610612765,2PT,,1,2
0022500107,1610612739,3PT,,0,0
0022500107,1610612749,3PT,29.0,0,0
0022500108,1610612748,2PT,15.0,0,0
0022500108,1610612752,3PT,,1,3
0022500109,1610612764,2PT,,1,2
0022500109,1610612766,3PT,26.0,0,0
0022500110,1610612750,2PT,18.0,2,5
0022500110,1610612754,3PT,,1,3
0022500111,1610612742,3PT,,1,3
0022500111,1610612761,2PT,16.0,2,4
0022500112,1610612746,2PT,,1,2
0022500112,1610612757,2PT,19.0,1,2
0022500113,1610612747,2PT,,1,2
0022500113,1610612758,2PT,5.0,1,2
0022500114,1610612753,2PT,12.0,1,2
0022500114,1610612755,2PT,,1,2
0022500115,1610612737,2PT,15.0,1,2
0022500115,1610612741,2PT,,1,2
0022500116,1610612745,2PT,50.0,1,2
0022500116,1610612751,3PT,,1,2
0022500117,1610612738,2PT,6.0,2,5
